player_id,player_name,round,status,afl_played,vfl_played,player_value_score,performance_score,potential_score,availability_label
12753,Changkuoth Jiath,18,afl_played,True,,2.867,2.867,0.574,played
12753,Changkuoth Jiath,19,afl_played,True,,2.867,2.867,0.574,played
12753,Changkuoth Jiath,20,afl_played,True,,2.867,2.867,0.574,played
12753,Changkuoth Jiath,21,afl_played,True,,2.867,2.867,0.574,played
12753,Changkuoth Jiath,22,intermittent,False,,2.867,2.867,0.574,missing
12753,Changkuoth Jiath,23,vfl_only,False,True,2.867,2.867,0.574,missing
12753,Changkuoth Jiath,24,intermittent,False,,2.867,2.867,0.574,missing
12953,Connor Macdonald,1,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,2,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,3,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,4,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,5,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,6,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,7,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,8,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,9,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,10,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,11,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,12,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,13,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,14,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,16,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,17,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,18,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,19,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,20,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,21,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,22,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,23,afl_played,True,,3.956,3.956,1.561,played
12953,Connor Macdonald,24,afl_played,True,,3.956,3.956,1.561,played
12678,Conor Nash,1,afl_played,True,,4.361,4.361,0.574,played
12678,Conor Nash,2,afl_played,True,,4.361,4.361,0.574,played
12678,Conor Nash,3,afl_played,True,,4.361,4.361,0.574,played
12678,Conor Nash,4,afl_played,True,,4.361,4.361,0.574,played
12678,Conor Nash,5,afl_played,True,,4.361,4.361,0.574,played
