player_id,player_name,stat,weight,raw_season_avg,weighted_contribution
12953,Connor Macdonald,Intercepts / game,0.09,1.3913,0.1252
12953,Connor Macdonald,Clearances / game,0.11,1.1304,0.1243
12953,Connor Macdonald,Hit-outs / game,0.03,0.0,0.0
12953,Connor Macdonald,Hit-outs to advantage / game,0.05,0.0,0.0
12953,Connor Macdonald,Clangers / game (penalty),-0.06,2.8261,-0.1696
13060,Max Ramsden,Disposals / game,0.22,5.6667,1.2467
13060,Max Ramsden,Goals / game,0.18,0.3333,0.06
13060,Max Ramsden,Score involvements / game,0.11,1.3333,0.1467
13060,Max Ramsden,Metres gained / 100 per game,0.06,0.5433,0.0326
13060,Max Ramsden,Tackles / game,0.07,2.0,0.14
13060,Max Ramsden,Contested marks / game,0.09,0.3333,0.03
13060,Max Ramsden,Intercepts / game,0.09,1.0,0.09
13060,Max Ramsden,Clearances / game,0.11,0.6667,0.0733
13060,Max Ramsden,Hit-outs / game,0.03,3.6667,0.11
13060,Max Ramsden,Hit-outs to advantage / game,0.05,0.6667,0.0333
13060,Max Ramsden,Clangers / game (penalty),-0.06,1.6667,-0.1
12678,Conor Nash,Disposals / game,0.22,19.0435,4.1896
12678,Conor Nash,Goals / game,0.18,0.0435,0.0078
12678,Conor Nash,Score involvements / game,0.11,4.3478,0.4783
12678,Conor Nash,Metres gained / 100 per game,0.06,2.3304,0.1398
12678,Conor Nash,Tackles / game,0.07,5.3043,0.3713
12678,Conor Nash,Contested marks / game,0.09,0.087,0.0078
12678,Conor Nash,Intercepts / game,0.09,1.8696,0.1683
12678,Conor Nash,Clearances / game,0.11,5.0,0.55
12678,Conor Nash,Hit-outs / game,0.03,1.3478,0.0404
12678,Conor Nash,Hit-outs to advantage / game,0.05,0.2609,0.013
12678,Conor Nash,Clangers / game (penalty),-0.06,3.7391,-0.2243
12710,Dylan Moore,Disposals / game,0.22,19.7391,4.3426
12710,Dylan Moore,Goals / game,0.18,1.5217,0.2739
12710,Dylan Moore,Score involvements / game,0.11,7.3478,0.8083
12710,Dylan Moore,Metres gained / 100 per game,0.06,2.9309,0.1759
12710,Dylan Moore,Tackles / game,0.07,3.8696,0.2709
12710,Dylan Moore,Contested marks / game,0.09,0.2609,0.0235
12710,Dylan Moore,Intercepts / game,0.09,1.7826,0.1604
12710,Dylan Moore,Clearances / game,0.11,1.913,0.2104
12710,Dylan Moore,Hit-outs / game,0.03,0.0,0.0
12710,Dylan Moore,Hit-outs to advantage / game,0.05,0.0,0.0
12710,Dylan Moore,Clangers / game (penalty),-0.06,2.4348,-0.1461
12907,Ned Reeves,Disposals / game,0.22,8.25,1.815
12907,Ned Reeves,Goals / game,0.18,0.25,0.045
12907,Ned Reeves,Score involvements / game,0.11,3.0,0.33
12907,Ned Reeves,Metres gained / 100 per game,0.06,0.405,0.0243
12907,Ned Reeves,Tackles / game,0.07,2.25,0.1575
12907,Ned Reeves,Contested marks / game,0.09,0.75,0.0675
12907,Ned Reeves,Intercepts / game,0.09,1.5,0.135
12907,Ned Reeves,Clearances / game,0.11,2.5,0.275
12907,Ned Reeves,Hit-outs / game,0.03,22.75,0.6825
12907,Ned Reeves,Hit-outs to advantage / game,0.05,5.5,0.275
12907,Ned Reeves,Clangers / game (penalty),-0.06,3.5,-0.21
12999,Massimo D'Ambrosio,Disposals / game,0.22,20.7727,4.57
12999,Massimo D'Ambrosio,Goals / game,0.18,0.3182,0.0573
12999,Massimo D'Ambrosio,Score involvements / game,0.11,4.5,0.495
12999,Massimo D'Ambrosio,Metres gained / 100 per game,0.06,3.3682,0.2021
12999,Massimo D'Ambrosio,Tackles / game,0.07,1.9091,0.1336
12999,Massimo D'Ambrosio,Contested marks / game,0.09,0.0909,0.0082
12999,Massimo D'Ambrosio,Intercepts / game,0.09,4.4545,0.4009
12999,Massimo D'Ambrosio,Clearances / game,0.11,1.3182,0.145
12999,Massimo D'Ambrosio,Hit-outs / game,0.03,0.0,0.0
