player_id,player_name,player_value_score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24
12989,Sam Butler,1.243,vfl_only,vfl_only,unavailable,afl_played,afl_played,intermittent,intermittent,intermittent,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
12999,Massimo D'Ambrosio,4.733,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,intermittent,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played
13022,Jai Serong,2.121,vfl_only,vfl_only,vfl_only,unavailable,unavailable,afl_played,afl_played,intermittent,afl_played,afl_played,vfl_only,vfl_only,intermittent,vfl_only,vfl_only,vfl_only,vfl_only,vfl_only,unavailable,unavailable,unavailable,vfl_only,unavailable
13039,Cam Mackenzie,4.078,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,vfl_only,intermittent,intermittent,afl_played,afl_played,afl_played
13055,Seamus Mitchell,1.851,vfl_only,vfl_only,unavailable,afl_played,afl_played,afl_played,afl_played,intermittent,afl_played,afl_played,afl_played,afl_played,afl_played,vfl_only,vfl_only,afl_played,vfl_only,vfl_only,unavailable,vfl_only,unavailable,vfl_only,unavailable
13059,Josh Weddle,3.673,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played
13060,Max Ramsden,1.732,vfl_only,unavailable,unavailable,afl_played,afl_played,vfl_only,afl_played,intermittent,vfl_only,vfl_only,vfl_only,vfl_only,unavailable,vfl_only,vfl_only,vfl_only,vfl_only,vfl_only,unavailable,vfl_only,unavailable,vfl_only,unavailable
13092,Henry Hustwaite,1.3,vfl_only,unavailable,afl_played,afl_played,afl_played,afl_played,intermittent,intermittent,vfl_only,vfl_only,vfl_only,vfl_only,unavailable,vfl_only,vfl_only,vfl_only,vfl_only,vfl_only,unavailable,vfl_only,unavailable,vfl_only,unavailable
13103,Nick Watson,4.476,afl_played,afl_played,afl_played,intermittent,intermittent,intermittent,unavailable,afl_played,afl_played,afl_played,vfl_only,intermittent,intermittent,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played
13137,Calsher Dear,1.86,vfl_only,vfl_only,vfl_only,vfl_only,vfl_only,unavailable,unavailable,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,intermittent,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played,afl_played
13146,Ethan Phillips,3.03,vfl_only,vfl_only,unavailable,vfl_only,vfl_only,vfl_only,vfl_only,unavailable,unavailable,afl_played,unavailable,unavailable,unavailable,vfl_only,vfl_only,vfl_only,vfl_only,vfl_only,unavailable,vfl_only,unavailable,vfl_only,unavailable
